MotionTimelineEditor	

[F1] キーで編集モードに切り替えます	按 [F1] 键切换到编辑模式

ファイル		文件
セーブ		保存
ロード		加载
情報		信息
キャラ		角色
IK 固定		IK 固定
トラック		轨道
履歴		历史
設定		设置
アニメ名		动画名
テスト		测试
最終フレーム	最终帧
フレーム操作	帧操作
登録		登录
全登録		全部登录
削除		删除
再生速度		播放速度
反転		反转
ボーン		骨骼
範囲操作		范围操作
範囲選択		范围选择
フレーム挿入	帧插入
フレーム削除	帧删除
フレーム複製	帧复制
縦選択		纵向选择
操作対象		操作对象
簡易表示		简易显示
編集モード	编辑模式
メイト表示	女仆显示
背景表示		背景显示
中心点 IK 表示	中心点 IK 显示
関節 IK 表示	关节 IK 显示
キーフレーム	关键帧
メイトアニメ情報		女仆动画信息
切替		切换
編集		编辑
追加		添加
手指		手指
足指		脚趾
対象カテゴリ	对象类别
操作種類		操作种类
全て		全部
返播		重播
新規作成		新建
アニメ出力	动画输出
DCM 出力		DCM 输出
連番画像出力	连续编号图像输出
全て		全部
キーフレーム 詳細		关键帧 详细信息
キーフレームが選択されていません	未选择关键帧
タイムライン設定		时间轴设置
個別		个别
共通		通用
動画		动画
グリッド		网格
個別設定		个别设置
格納ディレクトリ名		存储目录名称
フレームレート		帧率
メイト目線		女仆视角
無し		无
1 フレームの調整		1 帧的调整
腕・肩の固定化	手臂、肩膀的固定
胸 (左) の物理無効		胸部（左）的物理效果无效
胸 (右) の物理無効		胸部（右）的物理效果无效
ワークオンメモリー		工作内存
イージングを次のキーフレームに適用		将缓动应用到下一个关键帧
メイト移動のタンジェント補間を有効化		启用女仆移动的切线插值
ポジションエフェクトの色拡張		位置效果的颜色扩展
ポジションエフェクトのフォント拡張		位置效果的字体扩展
オセロット時 開始		播放时 开始
終了		结束
フェード時間 開始		淡入时间 开始
終了		结束
開始		开始
タイムライン設定		时间轴设置
切替		切换
個別		个别
共通		通用
グリッド		网格
フレームレート		帧率
1F選びる		选择1帧
腕・肩の固定化		手臂、肩膀的固定
ワークオンメモリー		工作内存
イージングを次のキーフレームに適用		将缓动应用到下一个关键帧
カメラのタンジェント補間を有効化		启用相机的切线插值
メイト移動のタンジェント補間を有効化			启用女仆移动的切线插值
ポジションエフェクトの色拡張			位置效果的颜色扩展
ポジションエフェクトのフォント拡張		位置效果的字体扩展
オセロット時		播放时
フェード時間		淡入时间
グリッド設定		网格设置
有効		有效
頂面上に表示		在顶面上显示
XY上に表示		在XY平面上显示
範囲上に表示		在范围上显示
編集中のみ表示		仅在编辑中显示
分割数		分割数
透過度		透明度
線幅		线宽
3D透過度		3D透明度
3D線幅		3D线宽
セルサイズ		单元格大小
操作履歴		操作历史
切替		切换
最大履歴数		最大历史记录数
クリア		清除
連番画像出力を開始しますか		开始连续编号图像输出吗
出力中は[Esc]キーで停止できます		输出过程中可以按[Esc]键停止
フレーム複製		帧复制
処理時間出力		处理时间输出
初期化		初始化
ブレンドシート幅		混合表宽度
高さ		高度
レンダリング透過度		渲染透明度
連番画像出力設定		连续编号图像输出设置
フレームレート		帧率
出力名		输出名称
画像サイズ		图像尺寸
幅		宽度
高さ		高度
DCM出力を先開く		先打开DCM输出
画像出力を先開く		先打开图像输出
サムネ更新		缩略图更新
デバッグ情報表示		显示调试信息
動画設定		动画设置
有効		有效
表示形式		显示形式
動画パス		动画路径
選択		选择
再読込		重新加载
開始位置		开始位置
表示サイズ		显示尺寸
透過度		透明度
タイムラインロード		时间轴加载
切替		切换
開く		打开
範囲操作		范围操作
範囲選択		范围选择
フレーム挿入		帧插入
フレーム削除		帧删除
フレーム複製		帧复制
縦選択		纵向选择
レイヤー		图层
編集メイトアニメ表示 		编辑女仆动画显示
操作対象		操作对象
簡易表示		简易显示
編集モード		编辑模式
背景表示			背景显示
関節IK表示 	关节IK显示
キーフレーム		关键帧
プレンド有効		混合有效
ロック		锁定
親		親（父级）
開き具合		张开程度
閉じ具合		闭合程度
左足にコピー		复制到左脚
ロック		锁定
右足にコピー		复制到右脚
BGMパス		BGM路径
再読込		重新加载
BPMライン表示		BPM线显示
オフセット		偏移量
共通設定		通用设置
初期補間曲線		初始补间曲线
自動補間		自动补间
初期イージング		初始缓动
Trans詳細表示数		Trans详细显示数量
Tangent表示数		Tangent显示数量
移動範囲		移动范围
拡縮範囲		缩放范围
自動でキーフレーム		自动关键帧
ボーン選択無効		骨骼选择无效
自動拡げボタン		自动扩展按钮
動画先読み秒数		动画预加载秒数
ポイント最大秒数		点最大秒数
背景透過度		背景透明度
ボーリングスト幅		ボーリングスト宽度
- ウィンドウ幅		窗口宽度
高さ		高度
自動でBackgroundCustomizeに登録		自动注册到BackgroundCustomize
コピー		复制
プレンド有効		混合有效
ロック		锁定
左手にコピー		复制到左手
右手にコピー		复制到右手
ボーリングスト幅		ボーリングスト宽度
ウィンドウ幅		窗口宽度
ウィンドウ高さ		窗口高度
グリッド		网格
キーフレーム		关键帧
キーで編集モードに切り替えます		按键切换到编辑模式
フレーム挿入		帧插入
フレーム削除		帧删除
フレーム複製		帧复制
メイト目線		女仆视角
メイト		女仆
フレームの調整		帧的调整
ワークオンメモリー		工作内存
メイト移動のタンジェント補間を有効化		启用女仆移动的切线插值
ポジションエフェクトの色拡張			位置效果的颜色扩展
ポジションエフェクトのフォント拡張		位置效果的字体扩展


znq19翻译-基于MotionTimelineEditor 4.7.0.0，免费发布
