FaceControl0.0.4.0
有効			有效
まばたき			眨眼
保存			保存
復元			回复
フェラ時口無効		口交时口无效
ブレンド読込		混合读取
表情変化速度
通常
名前変更			改名
追加			添加
上書			覆盖
削除			删除
瞳Y
固定			锁定
目閉じ			闭眼
にっこり			微笑
ジト目			不屑眼
見開く			展开
ウィンク1			眨眼1
ウィンク2			眨眼2
瞳小			小瞳孔
眉キリッ			眉毛紧缩
眉困り			眉毛困惑
眉ハの字			C字眉
眉上げ			扬起眉毛
眉傾き			倾斜眉毛
口角上げ			嘴角向上
口角下げ			嘴角向下
口角左上げ		将嘴角向左抬高
口角右上げ		将嘴角向右抬高
への字口			嘟嘴
口あ			
口う
口い			
口笑顔			嘴角微笑
舌出し1			伸出舌头1
舌出し2			伸出舌头2
舌根上げ			舌根抬高
歯オフ			牙齿高度
頬1			脸1
頬2			脸2
頬3			脸3
涙1			泪1
涙2			泪2
涙3			泪3
よだれ			流口水
赤面			脸红
ショック			震惊
涙			眼泪
ハイライト		
鼻フック			鼻钩



エロ通常				エロ正常 
エロ通常１			エロ正常１
エロ通常２			エロ正常２
エロ通常３			エロ正常３
エロ興奮				エロ兴奋
エロ興奮０			エロ兴奋０
エロ興奮１			エロ兴奋１
エロ興奮２			エロ兴奋２
エロ興奮３			エロ兴奋３
エロ好感				エロ好感
エロ好感１			エロ好感１
エロ好感２			エロ好感２
エロ好感３			エロ好感３
エロ期待				エロ期待 
エロ羞恥				エロ羞耻
エロ羞恥１			エロ羞耻１
エロ羞恥２			エロ羞恥２
エロ羞恥３			エロ羞恥３ 
エロ緊張				エロ紧张
エロ我慢				エロ忍耐 
エロ我慢１			エロ忍耐１
エロ我慢２			エロ忍耐２
エロ我慢３			エロ忍耐３
エロ嫌悪				エロ厌恶
エロ嫌悪１			エロ厌恶１
エロ痛み				エロ疼痛 
エロ痛み１			エロ疼痛１
エロ痛み２			エロ疼痛２
エロ痛み３			エロ疼痛３
エロ痛み我慢			エロ忍耐疼痛 
エロ痛み我慢１			エロ忍耐疼痛１
エロ痛み我慢２			エロ忍耐疼痛２
エロ痛み我慢３			エロ忍耐疼痛３
エロ怯え				エロ恐惧
エロメソ泣き			エロ抽泣
あーん				哭泣
エロ舌責				エロ舌責
エロ舌責快楽			エロ舌責快乐
エロ舌責嫌悪			エロ舌責厌恶
エロ舐め通常			エロ舔舐正常
エロ舐め通常２			エロ舔舐正常２
エロ舐め愛情			エロ舔舐爱情
エロ舐め愛情２			エロ舔舐爱情２
エロ舐め快楽			エロ舔舐快乐
エロ舐め快楽２			エロ舔舐快乐２
エロ舐め嫌悪			エロ舔舐厌恶
エロ舐め嫌悪２			エロ舔舐厌恶２
エロフェラ通常			エロ口交正常
エロフェラ愛情			エロ口交爱情
エロフェラ快楽			エロ口交快乐
エロフェラ嫌悪			エロ口交厌恶
エロ絶頂				エロ高潮
エロ放心				エロ放松
閉じ舐め通常			闭眼舔舐正常
閉じ舐め通常２			闭眼舔舐正常２
閉じ舐め愛情			闭眼舔舐爱情
閉じ舐め愛情２			闭眼舔舐爱情２
閉じ舐め快楽			闭眼舔舐快乐
閉じ舐め快楽２			闭眼舔舐快乐２
閉じ舐め嫌悪			闭眼舔舐厌恶
閉じ舐め嫌悪２			闭眼舔舐厌恶２
閉じフェラ通常			闭眼口交正常
閉じフェラ愛情			闭眼口交爱情
閉じフェラ快楽			闭眼口交快乐
閉じフェラ嫌悪			闭眼口交厌恶
通常射精後１			正常射精后１
通常射精後２			正常射精后２
絶頂射精後１			高潮射精后１
