MotionTimelineEditor 4.7.0.0
タイムライン ロード					加载时间轴
新規作成かロードをしてください					请新建或加载
ファイル				文件
セーブ					保存
ロード					加载
情報					信息
ｷｰﾌﾚｰﾑ					关键帧
IK固定					IK固定
トラック				轨道
履歴					历史
設定					设置
切替					切换
開く					打开
更新					更新
00タイムライン完全初期化1					00时间轴完全初始化1
00配布：初期化01					00发布：初始化01
E-バタ足練習1					E-打腿练习1
E-バタ足練習2					E-打腿练习2
E-平泳ぎ1						E-蛙泳1
E-平泳ぎ2						E-蛙泳2
E-座りバタ足1					E-坐姿打腿1
E-座りバタ足2					E-坐姿打腿2
新規作成					新建
アニメ出力					动画导出
DCM出力						DCM导出
連番画像出力					序列图输出
[F1]キーで編集モードに切り替えます					[F1]切换到编辑模式
アニメ名					动画名称
最終フレーム					最终帧
フレーム操作					帧操作
再生速度						播放速度
キーフレーム					关键帧
登録						添加
全登録					全添加
削除						删除
コピー					复制
ペースト				粘贴
反転P						反转P
ポーズC					姿势C
ポーズP					姿势P
範囲操作					范围操作
範囲選択					范围选择
ﾌﾚｰﾑ挿入					帧插入
ﾌﾚｰﾑ削除					帧删除
ﾌﾚｰﾑ複製					帧复制
縦選択						纵向选择
レイヤー					图层
操作対象					操作对象
簡易表示					简易显示
編集モード				编辑模式
メイド表示				女仆显示
背景表示					背景显示
中心点IK表示			中心点IK显示
関節IK表示				关节IK显示
メイドアニメ			女仆动画
テスト						测试

キーフレーム 詳細											关键帧详细信息
キーフレームが選択されていません					未选择关键帧
初期化									初始化
補間曲線								曲线插值
すべて									全部
自動補間								自动插值
プリセット反映					应用预设
メイドアニメ情報					女仆动画信息
編集					编辑
追加					添加
対象カテゴリ			对象分类
中心							中心
操作種類					操作类型
全て							全选
対象スロット					对象插槽
全解除								全解除
全選択								全选择
ブレンド有効					启用混合
右手					右手
ロック					锁定
親					父级
人					人
中					中
薬					药
小					小
全					全
反					反
開き具合					开启程度
閉じ具合					闭合程度
左手にコピー					复制到左手
左手					左手
右手にコピー					复制到右手
右足					右足
左足にコピー					复制到左足
左足					左足
右足にコピー					复制到右足
IKアニメーション					IK动画
有効					启用
左足の接地					左脚着地
右足の接地					右脚着地
床の高さ					地面高度
メイドの位置から推定					根据女仆位置推算
足首の高さ					脚踝高度
伸ばす高さ					伸展高度
伸ばす角度					伸展角度
接地時角度					着地时角度
トラック設定					轨道设置
トラックがありません					无轨道
範囲					范围
操作履歴					操作记录
最大履歴数					最大记录数
クリア					清除
タイムライン 設定					时间轴设置
個別					单独
共通					通用
動画					动画
ｸﾞﾘｯﾄﾞ					网格
個別設定					单独设置
格納ディレクトリ名					存储目录名
フレームレート					帧率
メイド目線					女仆视角
無し					无
1フレーム調整					1帧调整
1F遅らせる					延迟1帧
顔/瞳の固定化					固定面部/瞳孔
胸(左)の物理無効					禁用左胸物理
胸(右)の物理無効					禁用右胸物理
ループアニメーション					循环动画
イージングを次のキーフレームに適用					将缓动应用于下一关键帧
カメラのタンジェント補間を有効化					启用摄像机切线插值
メイド移動のタンジェント補間を有効化					启用女仆移动切线插值
ポストエフェクトの色拡張					后期效果颜色扩展
ポストエフェクトのブレンド拡張					后期效果混合扩展
オフセット時間					偏移时间
開始					开始
終了					结束
フェード時間					淡入淡出时间
アスペクト比					宽高比
幅					宽度
高さ					高度
ﾚﾀｰﾎﾞｯｸｽ透過度					黑边遮罩透明度
連番画像出力設定					序列帧输出设置
出力名					输出名称
画像サイズ					图像尺寸
DCM出力先を開く					打开DCM导出目录
画像出力先を開く					打开图像导出目录
サムネ更新					更新缩略图
デバッグ情報表示					调试信息显示
共通設定							通用设置
初期補間曲線					初始插值曲线
初期イージング				初始缓动
Trans詳細表示数				Trans详细显示数
Tangent表示数					Tangent显示数
移動範囲							移动范围
拡縮範囲							缩放范围
自動スクロール					自动滚动
ポーズ履歴無効					姿势历史记录无效
自動揺れボーン					自动摇曳骨
動画先読み秒数					视频预读秒数
ボイス最大秒数					语音最大秒数
背景透過度							背景透明度
ボーンリスト幅					骨骼列表宽度
ウィンドウ幅					窗口宽度
ウィンドウ高さ					窗口高度
自動でBackgroundCustomに登録					自动注册到BackgroundCustom
処理時間出力					处理时间输出
BGM設定					BGM设置
BGMパス					BGM路径
選択							选择
再読込						重新加载
音量							音量
BPMライン表示			BPM节拍线显示
オフセット					偏移量
動画設定					视频设置
表示形式					显示格式
動画パス					视频路径
開始位置					起始位置
表示サイズ				显示尺寸
透過度						透明度
グリッド設定					网格设置
画面上に表示					画面上显示
3D上に表示					3D界面显示
動画上に表示					动画上显示
編集中のみ表示					仅编辑时显示
分割数						分割数量
線幅							线宽
3D分割数					3D分割数
3D透過度					3D透明度
3D線幅						3D线宽
セルサイズ					单元格尺寸
メイドを配置してください					请配置女仆角色
MeidoPhotoStudioを有効化してください			请启动MeidoPhotoStudio



手指						手指
足指							脚趾
肘(左)					肘部(左)
肘(右)					肘部(右)
固定						固定
手首(左)					手腕(左)
手首(右)					手腕(右)
膝(左)					膝盖(左)
膝(右)					膝盖(右)
足首(左)					脚踝(左)
足首(右)					脚踝(右)
体			体
中心			中心
足元			足
骨盤			骨盆
脊椎1			脊椎1
脊椎2			脊椎2
脊椎3			脊椎3
脊椎4			脊椎4
首					首
頭					头
胸(左)			胸(左)
胸(右)			胸(右)
左腕				左臂
鎖骨(左)		锁骨(左)
肩(左)			肩(左)
肘(左)			肘(左)
手首(左)			手腕(左)
右腕					右臂
鎖骨(右)			锁骨(右)
肩(右)				肩(右)
肘(右)				肘(右)
手首(右)			手腕(右)
左足					左足
足付根(左)		股(左)
膝(左)				膝(左)
足首(左)			足(左)
右足					右足
足付根(右)		股(右)
膝(右)				膝(右)
足首(右)			足(右)
左手指				左手指
親指3(左)			大拇指3(左)
親指2(左)			大拇指2(左)
親指1(左)			大拇指1(左)
人差し指3(左)			食指3(左)
人差し指2(左)			食指2(左)
人差し指1(左)			食指1(左)
中指3(左)			中指3(左)
中指2(左)			中指2(左)
中指1(左)			中指1(左)
薬指3(左)			无名指3(左)
薬指2(左)			无名指2(左)
薬指1(左)			无名指1(左)
小指3(左)			小指3(左)
小指2(左)			小指2(左)
小指1(左)			小指1(左)
右手指				右手指
親指3(右)			大拇指3(右)
親指2(右)			大拇指2(右)
親指1(右)			大拇指1(右)
人差し指3(右)			食指3(右)
人差し指2(右)			食指2(右)
人差し指1(右)			食指1(右)
中指3(右)			中指3(右)
中指2(右)			中指2(右)
中指1(右)			中指1(右)
薬指3(右)			无名指3(右)
薬指2(右)			无名指2(右)
薬指1(右)			无名指1(右)
小指3(右)			小指3(右)
小指2(右)			小指2(右)
小指1(右)			小指1(右)
左足指				左足趾
足親指2(左)			大拇趾2(左)
足親指1(左)			大拇趾1(左)
足中指2(左)			足中趾2(左)
足中指1(左)			足中趾1(左)
足子指2(左)			末趾2(左)
足子指1(左)			末趾1(左)
右足指					右足趾
足親指2(右)			大拇趾2(右)
足親指1(右)			大拇趾1(右)
足中指2(右)			足中趾2(右)
足中指1(右)			足中趾1(右)
足子指2(右)			末趾2(右)
足子指1(右)			末趾1(右)
左足					左腿
右足					右腿
右手指					右手指
接地						接地
指ブレンド			手指混合
移動					移动
回転					旋转
拡縮					缩放
なし					无
全解除					全部解除
揺れボーン					摇晃骨骼
X移動					X移动
Y移動					Y移动
Z移動					Z移动
X回転					X旋转
Y回転					Y旋转
Z回転					Z旋转
W回転					W旋转
X拡縮					X缩放
Y拡縮					Y缩放
Z拡縮					Z缩放
固定						固定
3Dビュー					3D视图
最背面					最背面
最前面					最前面
3D分割数					3D分割数


物品名由 DS-R1 翻译

参考マガジン自重落下001					参考杂志自重落下001
参考マガジン自重落下（マガジン側）001					参考杂志自重落下（杂志侧）001
参考作品ギター001					参考作品吉他001
参考品　反省を促すダンス001					参考品 促使反省的舞蹈001
参考跳ねるボール001					参考弹跳球001
参考跳ねるボール（ドリブル）001					参考弹跳球（运球）001
失敗作モデル歩き001					失败作模型行走001
失敗作モデル歩き008					失败作模型行走008
試作　おっぱい001					试作 胸部001
試作おっぱい002					试作胸部002
試作お尻001					试作 臀部001
試作さすらいネキ001					试作流浪猫娘001
試作キックフリップ001					试作踢翻001
試作キックフリップ（ボード）001					试作踢翻（滑板）001
試作ゴロゴロ001					试作翻滚001
試作サイコクラッシャー					试作精神击碎
試作ドリフト001					试作漂移001
試作パンチングボール001					试作拳击球001
試作ピッチャー001					试作投手001
試作ピッチャー（ボール）001					试作投手（棒球）001
試作側宙001					试作侧空翻001
試作呪いの館001					试作诅咒之馆001
試作呪いの館（丸いもの）002					试作诅咒之馆（圆形物）002
試作拳銃001					试作手枪001
試作放物線001					试作抛物线001
試作昇竜拳001					试作升龙拳001
配布：I字バランス01					发布：I字平衡01
配布：I字バランス02					发布：I字平衡02
