名前	名字
キー名	键名
有効		启用
削除		删除
追加		添加
無効		禁用
設定復元	                加载设置
設定保存	                保存设置
通常指定		普通分配
アニメなし	无动画
名前指定		按名字分配
ID指定		按ID分配
はい		是
いいえ		否
削除完了		删除完成
追加完了		添加完成
保存完了		保存完成
\nを削除しますか？		\n确定要删除吗？
新規グループ	新建组
グループなし	取消组
グループ削除	删除组
増加	增加
減少	减少
反復	循环
ランダム	随机
有効	有效
無効	无效
タイマー設定	计时器设置
速さ	速度
幅	幅度
基準点	基准点
実行時間		开始时间
実行間隔		时间间隔
待機中の値は	待机值
左端へ	到左边
基準点へ	到基准点
反転	反转
復元完了	已恢复
全部表示	全部显示
通常表示	普通显示
 ID表示 	ID显示
名前表示	名字显示
해제	禁用
삭제	删除
일반지정	一般指定
유효	启用
\n을 삭제 하시겠습니까?		\n确定要删除吗？
삭제 완료	删除完成
이름지정	命名
모든캐릭	所有角色
Num	数值
ベース		基础
대기중의값은	空白值
왼쪽에		左边
복원완료		恢复完成
